season,episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance,
1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1,
1,5,Stark soldier,Lannister soldier,Spear,Polearm,Jamie Lannister attacked because Catelyn Stark had taken Tyrion Lannister prisoner,King’s Landing,House Stark,1,
1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1,
1,5,Lannister soldier,Ned Stark,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1,
1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1,
1,5,Lannister soldier,Jory Cassel,Sword,Blade,Attacked Ned Stark on Jamie Lannister’s command,King’s Landing,House Lannister,1,
1,5,Jory Cassel,Jaime Lannister,Knife,Blade,Attacked Jaime in defense of Ned Stark,King’s Landing,House Stark,3,
1,6,Wallen,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,2,
1,6,Wildling,Robb Stark,Sword,Blade,Attacked Bran Stark,Winterfell,Free Folk,1,
1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Attacked Bran Stark,Winterfell,Free Folk,2,
1,6,Vardis Egen,Bronn,Sword,Blade,Defeated in a trial by combat to determine Tyrion Lannister’s fate,The Eyrie,"House Egen, House Arryn",2,
1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,"Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city",Vaes Dothrak,House Targaryen,4,
1,7,Robert Baratheon,Boar,Tusk,Animal,Hunted the boar while drunk,King’s Landing,House Baratheon of King’s Landing,4,
1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,7,Stark soldier,City watch guard,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,8,Stark soldier,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,8,Vayon Poole,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,2,
1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,8,Stark staff member,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,1,
1,8,Septa Mordane,Lannister soldier,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3,
1,8,Syrio Forel,Meryn Trant,Sword,Blade,Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne,King’s Landing,House Stark,3,
1,8,Stableboy,Arya Stark,Sword (Needle),Blade,Tried to grab Arya,King’s Landing,Smallfolk,1,
1,8,Othor,Jon Snow,Fire,Fire/Burning,Attacked Jeor Mormont,Castle Black,None,1,
1,8,Jafer Flowers,Night’s Watch brother,Fire,Fire/Burning,Attacked members of the Night’s Watch,Castle Black,None,1,
1,8,Mago,Khal Drogo,Hands,Hands,Challenged Khal Drogo when Daenerys took his spoils of war,Lhazar,Dothraki,2,
1,9,Raven,Theon Greyjoy,Arrow,Arrow,Killed to prevent a message from leaving The Twins,The Twins,None,1,
1,9,Drogo’s horse,Mirri Maz Duur,Knife,Blade,Sacrificed for magic ceremony,Red Waste,Dothraki,1,
1,9,Qotho,Jorah Mormont,Sword,Blade,Tried to stop Mirri Maz Duur’s magic ritual from being performed on Khal Drogo,Red Waste,Dothraki,2,
1,9,Stark soldier,Hill tribesman,Hammer,Bludgeon,Battle between Lannister and Stark forces,Unknown,House Stark,1,
1,9,Stark soldier,Hill tribesman,Sword,Blade,Battle between Lannister and Stark forces,Unknown,House Stark,1,
1,9,Pigeon,Arya Stark,Hands,Hands,Killed for food,King’s Landing,None,1,
1,9,Ned Stark,Ilyn Payne,Sword (Ice),Blade,Executed on Joffrey Baratheon’s orders after Ned claimed Joffrey wasn’t the true heir to the throne,King’s Landing,House Stark,4,
1,10,Rhaego,Mirri Maz Duur,Magic,Magic,Killed in a blood magic ritual as revenge,Red Waste,Dothraki,2,
1,10,Khal Drogo,Daenerys Targaryen,Pillow,Household item,Killed after being put into a vegetative state by Mirri Maz Duur,Red Waste,Dothraki,4,
1,10,Mirri Maz Duur,Daenerys Targaryen,Fire,Fire/Burning,Revenge for her having killed Khal Drogo and Rhaego,Red Waste,None,3,
2,1,Knight,Sandor “the Hound” Clegane,Mace,Mace,Defeated in nameday tournament for Joffrey Baratheon,King’s Landing,None,1,
2,1,The Silver,None,Starvation,Other,No food or water in the Red Waste,Red Waste,"Dothraki, House Targaryen",2,
2,1,Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Tried to kill Melisandre,Dragonstone,House Baratheon of Dragonstone,2,
2,1,Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,2,
2,1,Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1,
2,1,Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1,
2,1,Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed,King’s Landing,Smallfolk,1,
2,2,Rakharo,Unknown (possible rival Dothraki men),Unknown,Unknown,Unknown (possibly as a challenge to Daenerys Targaryen’s khalasar),Red Waste,"Dothraki, House Targaryen",3,
2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1,
2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1,
2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1,
2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1,
2,3,Lannister soldier,Yoren,Sword,Blade,Attempted to take Gendry from Yoren’s Night’s Watch recruits,Riverlands,House Lannister,1,
2,3,Yoren,Amory Lorch,Sword,Blade,Refused to hand over Gendry,Riverlands,Night’s Watch,3,
2,3,Night’s Watch recruit,Lannister soldier,Spear,Polearm,Attacked after seeing Yoren killed,Riverlands,Night’s Watch,1,
2,3,Lommy Greenhands,Polliver,Sword (Needle),Blade,Killed after asking to be carried,Riverlands,Smallfolk,2,
2,4,Rennick,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,2,
2,4,Lannister soldier,Grey Wind,Direwolf teeth,Animal,Battle between Lannister and Stark forces,Oxcross,House Lannister,1,
2,4,Prisoner,The Tickler,Rat,Animal,Tortured for information about the Brotherhood without Banners,Harrenhal,None,1,
2,5,Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Killed so that Stannis Baratheon would have fewer enemies,Storm’s End,House Baratheon of Storm’s End,4,
2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1,
2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Attacked Brienne after assuming she killed Renly Baratheon,Storm’s End,House Baratheon of Storm’s End,1,
2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Arya Stark orders his death as part of her three deaths from Jaqen,Harrenhal,House Clegane,2,
2,6,Rodrik Cassel,Theon Greyjoy,Sword,Blade,Refused to stand down when Theon took over Winterfell,Winterfell,"House Cassel, House Stark",3,
2,6,Wildling,Night’s Watch brother,Arrow,Arrow,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1,
2,6,Wildling,Qhorin Halfhand,Sword,Blade,Killed for being a wildling lookout,Beyond the Wall,Free Folk,1,
2,6,High Septon,Peasants,Hands,Hands,Literally torn apart in a city riot,King’s Landing,Faith of the Seven,1,
2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1,
2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,Killed in a city riot,King’s Landing,Smallfolk,1,
2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1,
2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1,
2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,Tried to rape Sansa Stark during a city riot,King’s Landing,Smallfolk,1,
2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Named by Arya Stark after he finds her with one of Tywin’s letters,Harrenhal,House Lannister,2,
2,6,Drennan,Osha,Knife,Blade,"Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor",Winterfell,House Greyjoy,2,
2,6,Irri,Unknown,Unknown,Unknown,Killed in a plot by Xaro Xhoan Daxos and Pyat Pree to cover up stealing the dragon eggs,Qarth,"Dothraki, House Targaryen",3,
2,7,Alton Lannister,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,House Lannister,2,
2,7,Torrhen Karstark,Jaime Lannister,Hands,Hands,Killed in Jaime’s attempt to escape imprisonment,Robb Stark’s camp,"House Karstark, House Stark",2,
2,7,The Spice King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,3,
2,7,The Silk King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,The Copper King,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Killed in a coup by Xaro Xhoan Daxos and Pyat Pree,Qarth,The Thirteen,1,
2,7,Billy,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,2,
2,7,Jack,Theon Greyjoy,Fire,Fire/Burning,Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark,Winterfell,Smallfolk,2,
2,9,Matthos Seaworth,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,"House Seaworth, House Baratheon of Dragonstone",3,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Accident,Blunt object,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Hands,Hands,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Bronn,Knife,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Fire,Fire/Burning,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of Dragonstone soldier,Tyrion Lannister,Axe,Axe,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Bludgeon,Bludgeon,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Mandon Moore,Podrick Payne,Spear,Polearm,Attempted to kill Tyrion Lannister during the Battle of Blackwater,King’s Landing,"House Moore, Kingsguard",2,
2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of King’s Landing,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Lannister soldier,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,Killed during the Battle of the Blackwater,King’s Landing,House Baratheon of Dragonstone,1,
2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,1,
2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,1,
2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Found Brienne transporting Jaime Lannister,Unknown,House Stark,1,
